fold,mae,r2
1,0.0032118801658484195,0.07231538693299178
2,0.0030623153270437687,0.08224194570613075
3,0.002774674468014611,0.17707632157091802
4,0.002530958238961817,0.3448901595641177
5,0.003744590892670797,0.3378700009104517
6,0.003346528851562621,0.08081737996787963
7,0.002861545117205867,0.3286308339873403
8,0.0030901393137544113,0.15833929398874846
9,0.003532369788902452,0.27756785370263715
10,0.003649403653366702,0.07137906041796926
